Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,stat_inf_class,clustering
0x8ee59cf3c739cf609a768becf6dcf9aef1399761,0x8ee59cf3c739cf609a768becf6dcf9aef1399761,,6,1,7,31,1,32,1,1,1,0.51204,0.004623,0,0.000028,0,2079,27,29,0.119048
0xc27b64da8e84c7618bb83f0cb3f44fb2b3d45a4c,0xc27b64da8e84c7618bb83f0cb3f44fb2b3d45a4c,,4,0,4,10,0,10,0,0,0,0,0.001234,0,0.000028,0,2304,27,29,0
0x03825073ad05cd94b630db7ae931164f3e13100a,0x03825073ad05cd94b630db7ae931164f3e13100a,,3,2,5,13,5,18,8,0.218507,0.238206,8.41072,0.000926,0,0.000028,0,10613,27,29,0
0x1cc795ddf02b0e83a577405ee079bdf469ff250f,0x1cc795ddf02b0e83a577405ee079bdf469ff250f,,5,3,8,18,4,22,1,1,1,0.236222,0.006789,0.000007,0.000028,0,431,27,131,0.125
0xb41f6b937ed473fb6ccffd574f75fa01753a9caf,0xb41f6b937ed473fb6ccffd574f75fa01753a9caf,,5,0,5,16,0,16,0,0,0,0,0.001543,0,0.000028,0,2722,27,29,0
0x1b5688cd62a6a1cc92bf80809ee95c7e8f645d1c,0x1b5688cd62a6a1cc92bf80809ee95c7e8f645d1c,,5,0,5,8,0,8,0,0,0,0,0.001543,0,0.000028,0,2077,27,29,0
0x2215ddcef15b4fdebcf1d2a1f8d83450086e6f1d,0x2215ddcef15b4fdebcf1d2a1f8d83450086e6f1d,,3,2,5,9,2,11,8,0.218507,0.238206,8.41072,0.000926,0,0.000028,0,10613,27,29,0
0xb861795c44a4647340d3bced3f17e277a1dc3ab3,0xb861795c44a4647340d3bced3f17e277a1dc3ab3,,5,0,5,15,0,15,0,0,0,0,0.001543,0,0.000028,0,2721,27,29,0
0x3dc19cc0a7b59e51a9fc463febcb109d1f0128f4,0x3dc19cc0a7b59e51a9fc463febcb109d1f0128f4,,5,0,5,7,0,7,0,0,0,0,0.001543,0,0.000028,0,2506,27,29,0
0x076caed8c86a7f74be1b0a9e3778819e1e4a627b,0x076caed8c86a7f74be1b0a9e3778819e1e4a627b,,5,0,5,16,0,16,0,0,0,0,0.012631,0,0.000028,0,2302,27,29,0.2
0x153d9e4b1c781da78731abcd274070440107658a,0x153d9e4b1c781da78731abcd274070440107658a,,3,1,4,43,1,44,1,1,1,0.041622,0.00647,0,0.000028,0,2505,27,29,0.166667
0x733692f1d074af165e4314a0eb768a37c17058e0,0x733692f1d074af165e4314a0eb768a37c17058e0,,5,0,5,5,0,5,0,0,0,0,0.001543,0,0.000028,0,2076,27,29,0
0xe815db71f1578530dacd9347ecf743e1826c6ed8,0xe815db71f1578530dacd9347ecf743e1826c6ed8,,5,0,5,49,0,49,0,0,0,0,0.012631,0,0.000028,0,2720,27,29,0.2
0xe5e0b0481cdd5775bca41a73ca644290df74a8be,0xe5e0b0481cdd5775bca41a73ca644290df74a8be,,5,0,5,19,0,19,0,0,0,0,0.001543,0,0.000028,0,2301,27,29,0
0xae78b1559a5295ca8112bf6fb7f8824b23446dce,0xae78b1559a5295ca8112bf6fb7f8824b23446dce,,5,0,5,12,0,12,0,0,0,0,0.004315,0,0.000028,0,2504,27,29,0.2
